Away Team,Home Team
DAL,SF
MIN,HOU
NYG,PIT
ATL,WAS
PHI,CAR
TB,DET
JAC,NYJ
IND,TEN
GB,CHI
SEA,DEN
LAR,MIA
BUF,ARZ
NE,SD
CLE,KC
BAL,CIN
NO,OAK
DAL,ATL
GB,MIA
DEN,BAL
SEA,BUF
IND,HOU
CIN,NYG
CHI,MIN
TB,NO
PHI,WAS
CAR,SD
NYJ,NE
TEN,JAC
SF,ARZ
KC,OAK
DET,LAR
PIT,CLE
NYJ,IND
ATL,CAR
MIN,DET
HOU,JAC
DAL,TB
NO,GB
CHI,TEN
PIT,CIN
CLE,NYG
NE,SEA
KC,DEN
LAR,SF
OAK,SD
WAS,ARZ
BAL,PHI
MIA,BUF
NYG,ATL
WAS,NO
DEN,CAR
JAC,BUF
PHI,DAL
ARZ,GB
TEN,MIN
NE,NYJ
IND,CHI
CIN,CLE
SD,TB
MIA,SF
LAR,SEA
PIT,OAK
KC,BAL
DET,HOU
MIN,NYG
CIN,NE
BAL,CLE
BUF,MIA
PHI,NO
NYJ,HOU
DEN,PIT
CHI,DET
DAL,WAS
SD,ATL
GB,TEN
SEA,SF
CAR,OAK
ARZ,LAR
TB,KC
IND,JAC
MIN,NYJ
TB,WAS
CIN,KC
NYG,BAL
DEN,NO
CAR,ATL
MIA,NE
CHI,JAC
ARZ,SD
TEN,HOU
BUF,LAR
GB,SEA
DAL,PHI
CLE,PIT
PHI,JAC
OAK,CLE
BUF,NE
LAR,GB
WAS,CAR
MIA,TEN
NYG,IND
SD,CIN
DET,MIN
SF,SEA
ATL,DEN
BAL,PIT
NO,TB
CHI,GB
OAK,CIN
PHI,NYG
BAL,WAS
SF,BUF
SEA,ATL
NO,CAR
NE,JAC
MIN,IND
DET,DAL
PIT,SD
NYJ,DEN
LAR,ARZ
CLE,MIA
KC,HOU
WAS,DAL
HOU,CHI
SD,KC
CLE,CIN
TB,PHI
TEN,DET
MIA,NYJ
IND,PIT
JAC,MIN
NO,ATL
DEN,OAK
SEA,ARZ
BAL,BUF
SF,LAR
ATL,MIN
HOU,BAL
LAR,NO
TEN,NYJ
OAK,JAC
DAL,PIT
DET,CHI
ARZ,CAR
NE,BUF
NYG,SEA
SD,CLE
DEN,KC
SF,TB
IND,GB
ATL,TB
PIT,BAL
WAS,CIN
OAK,KC
NYJ,BUF
CAR,NYG
SD,TEN
JAC,HOU
DEN,IND
CHI,SEA
NE,MIA
ARZ,SF
GB,DET
PHI,CLE
NO,DAL
NYJ,ARZ
JAC,DET
WAS,PHI
NO,NYG
CLE,DAL
TB,BAL
HOU,GB
CAR,CIN
KC,PIT
TEN,IND
MIA,OAK
DEN,SD
CHI,SF
LAR,NE
SEA,MIN
NE,SF
NYG,TB
SEA,NYJ
ARZ,CHI
CAR,DAL
DET,IND
ATL,KC
TEN,BUF
GB,MIN
WAS,CLE
CIN,DEN
SD,OAK
PHI,LAR
HOU,MIA
DAL,NYG
CIN,PIT
NYJ,MIA
HOU,NE
JAC,TEN
TB,ATL
GB,PHI
CAR,NO
CHI,WAS
DET,ARZ
MIN,LAR
BAL,OAK
SF,KC
BUF,IND
CAR,TB
BUF,KC
PHI,CIN
ATL,PIT
SF,DET
IND,MIA
NO,CLE
WAS,NYG
MIN,CHI
NE,TEN
NYJ,LAR
OAK,DEN
BAL,SD
ARZ,SEA
DAL,HOU
GB,JAC
ATL,NO
SF,MIN
NYG,PHI
PIT,WAS
BUF,NYJ
JAC,IND
HOU,TEN
CAR,CHI
CLE,BAL
ARZ,NE
KC,SD
TB,DEN
LAR,OAK
MIA,SEA
DET,GB
CIN,DAL
KC,CAR
ATL,PHI
LAR,CHI
NYG,DAL
WAS,TEN
IND,NE
BUF,HOU
PIT,NYJ
MIA,JAC
CLE,DEN
SEA,DET
NO,SD
GB,SF
MIN,ARZ
CIN,BAL
OAK,TB
DET,BUF
HOU,IND
PIT,PHI
TB,CAR
OAK,ATL
MIN,GB
SF,NYJ
NYG,WAS
JAC,CLE
ARZ,MIA
KC,NO
SEA,LAR
CHI,NE
TEN,CIN
SD,DEN
DAL,BAL
